[2025-05-03 14:02:51] [32m[I]      688 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29316 ms	Sync time: 0 ms	Done time: 684 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 393.64 ms	Sync count: 11	Boot count: 11[0m
[2025-05-03 14:03:21] [32m[I]      290 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29714 ms	Sync time: 0 ms	Done time: 286 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 384.67 ms	Sync count: 12	Boot count: 12[0m
[2025-05-03 14:03:51] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 392.23 ms	Sync count: 13	Boot count: 13[0m
[2025-05-03 14:04:20] [32m[I]      288 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29716 ms	Sync time: 0 ms	Done time: 284 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 384.50 ms	Sync count: 14	Boot count: 14[0m
[2025-05-03 14:04:50] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 377.87 ms	Sync count: 15	Boot count: 15[0m
[2025-05-03 14:05:20] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 384.44 ms	Sync count: 16	Boot count: 16[0m
[2025-05-03 14:05:50] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 378.59 ms	Sync count: 17	Boot count: 17[0m
[2025-05-03 14:06:20] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 373.39 ms	Sync count: 18	Boot count: 18[0m
[2025-05-03 14:06:49] [32m[I]      290 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29714 ms	Sync time: 0 ms	Done time: 286 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 368.79 ms	Sync count: 19	Boot count: 19[0m
[2025-05-03 14:07:19] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 364.60 ms	Sync count: 20	Boot count: 20[0m
[2025-05-03 14:07:49] [32m[I]      687 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29317 ms	Sync time: 0 ms	Done time: 683 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 379.76 ms	Sync count: 21	Boot count: 21[0m
[2025-05-03 14:08:19] [32m[I]      290 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29714 ms	Sync time: 0 ms	Done time: 286 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 375.50 ms	Sync count: 22	Boot count: 22[0m
[2025-05-03 14:08:49] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 371.57 ms	Sync count: 23	Boot count: 23[0m
[2025-05-03 14:09:19] [32m[I]      487 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29516 ms	Sync time: 0 ms	Done time: 484 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 376.25 ms	Sync count: 24	Boot count: 24[0m
[2025-05-03 14:09:48] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 372.60 ms	Sync count: 25	Boot count: 25[0m
[2025-05-03 14:10:18] [32m[I]      487 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29516 ms	Sync time: 0 ms	Done time: 484 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 376.88 ms	Sync count: 26	Boot count: 26[0m
[2025-05-03 14:10:48] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 380.81 ms	Sync count: 27	Boot count: 27[0m
[2025-05-03 14:11:18] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 377.39 ms	Sync count: 28	Boot count: 28[0m
[2025-05-03 14:11:48] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 374.21 ms	Sync count: 29	Boot count: 29[0m
[2025-05-03 14:12:18] [32m[I]      686 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29318 ms	Sync time: 0 ms	Done time: 682 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 384.47 ms	Sync count: 30	Boot count: 30[0m
[2025-05-03 14:12:47] [32m[I]      290 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29714 ms	Sync time: 0 ms	Done time: 286 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 381.29 ms	Sync count: 31	Boot count: 31[0m
[2025-05-03 14:13:17] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 378.28 ms	Sync count: 32	Boot count: 32[0m
[2025-05-03 14:13:47] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 375.45 ms	Sync count: 33	Boot count: 33[0m
[2025-05-03 14:14:17] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 372.79 ms	Sync count: 34	Boot count: 34[0m
[2025-05-03 14:14:47] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 370.29 ms	Sync count: 35	Boot count: 35[0m
[2025-05-03 14:15:17] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 373.42 ms	Sync count: 36	Boot count: 36[0m
[2025-05-03 14:15:46] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 371.03 ms	Sync count: 37	Boot count: 37[0m
[2025-05-03 14:16:16] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 368.76 ms	Sync count: 38	Boot count: 38[0m
[2025-05-03 14:16:46] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 366.62 ms	Sync count: 39	Boot count: 39[0m
[2025-05-03 14:17:16] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 364.58 ms	Sync count: 40	Boot count: 40[0m
[2025-05-03 14:17:46] [32m[I]      487 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29516 ms	Sync time: 0 ms	Done time: 484 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 367.49 ms	Sync count: 41	Boot count: 41[0m
[2025-05-03 14:18:15] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 365.52 ms	Sync count: 42	Boot count: 42[0m
[2025-05-03 14:18:45] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 363.65 ms	Sync count: 43	Boot count: 43[0m
[2025-05-03 14:19:15] [32m[I]      487 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29516 ms	Sync time: 0 ms	Done time: 484 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 366.39 ms	Sync count: 44	Boot count: 44[0m
[2025-05-03 14:19:45] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 364.58 ms	Sync count: 45	Boot count: 45[0m
[2025-05-03 14:20:15] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 367.15 ms	Sync count: 46	Boot count: 46[0m
[2025-05-03 14:20:45] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 369.62 ms	Sync count: 47	Boot count: 47[0m
[2025-05-03 14:21:14] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 367.85 ms	Sync count: 48	Boot count: 48[0m
[2025-05-03 14:21:44] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 366.16 ms	Sync count: 49	Boot count: 49[0m
[2025-05-03 14:22:14] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 368.50 ms	Sync count: 50	Boot count: 50[0m
[2025-05-03 14:22:44] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 366.86 ms	Sync count: 51	Boot count: 51[0m
[2025-05-03 14:23:13] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 365.29 ms	Sync count: 52	Boot count: 52[0m
[2025-05-03 14:23:43] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 363.77 ms	Sync count: 53	Boot count: 53[0m
[2025-05-03 14:24:13] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 365.98 ms	Sync count: 54	Boot count: 54[0m
[2025-05-03 14:24:43] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 364.51 ms	Sync count: 55	Boot count: 55[0m
[2025-05-03 14:25:13] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 363.09 ms	Sync count: 56	Boot count: 56[0m
[2025-05-03 14:25:43] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 361.72 ms	Sync count: 57	Boot count: 57[0m
[2025-05-03 14:26:12] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 360.40 ms	Sync count: 58	Boot count: 58[0m
[2025-05-03 14:26:43] [32m[I]      687 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29317 ms	Sync time: 0 ms	Done time: 683 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 365.86 ms	Sync count: 59	Boot count: 59[0m
[2025-05-03 14:27:12] [32m[I]      288 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29716 ms	Sync time: 0 ms	Done time: 284 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 364.50 ms	Sync count: 60	Boot count: 60[0m
[2025-05-03 14:27:42] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 363.20 ms	Sync count: 61	Boot count: 61[0m
[2025-05-03 14:28:12] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 361.94 ms	Sync count: 62	Boot count: 62[0m
[2025-05-03 14:28:41] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 360.71 ms	Sync count: 63	Boot count: 63[0m
[2025-05-03 14:29:11] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 359.53 ms	Sync count: 64	Boot count: 64[0m
[2025-05-03 14:29:41] [32m[I]      599 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29405 ms	Sync time: 0 ms	Done time: 595 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 363.15 ms	Sync count: 65	Boot count: 65[0m
[2025-05-03 14:30:11] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 361.97 ms	Sync count: 66	Boot count: 66[0m
[2025-05-03 14:30:41] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 360.82 ms	Sync count: 67	Boot count: 67[0m
[2025-05-03 14:31:11] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 359.71 ms	Sync count: 68	Boot count: 68[0m
[2025-05-03 14:31:40] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.62 ms	Sync count: 69	Boot count: 69[0m
[2025-05-03 14:32:10] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 357.57 ms	Sync count: 70	Boot count: 70[0m
[2025-05-03 14:32:40] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 356.55 ms	Sync count: 71	Boot count: 71[0m
[2025-05-03 14:33:10] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 355.56 ms	Sync count: 72	Boot count: 72[0m
[2025-05-03 14:33:40] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 354.59 ms	Sync count: 73	Boot count: 73[0m
[2025-05-03 14:34:10] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 353.65 ms	Sync count: 74	Boot count: 74[0m
[2025-05-03 14:34:40] [32m[I]      688 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29316 ms	Sync time: 0 ms	Done time: 684 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.05 ms	Sync count: 75	Boot count: 75[0m
[2025-05-03 14:35:09] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 357.09 ms	Sync count: 76	Boot count: 76[0m
[2025-05-03 14:35:39] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.73 ms	Sync count: 77	Boot count: 77[0m
[2025-05-03 14:36:09] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 357.78 ms	Sync count: 78	Boot count: 78[0m
[2025-05-03 14:36:39] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 356.86 ms	Sync count: 79	Boot count: 79[0m
[2025-05-03 14:37:08] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 355.96 ms	Sync count: 80	Boot count: 80[0m
[2025-05-03 14:37:39] [32m[I]      687 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29317 ms	Sync time: 0 ms	Done time: 683 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 360.00 ms	Sync count: 81	Boot count: 81[0m
[2025-05-03 14:38:08] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 359.09 ms	Sync count: 82	Boot count: 82[0m
[2025-05-03 14:38:38] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.19 ms	Sync count: 83	Boot count: 83[0m
[2025-05-03 14:39:08] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 359.68 ms	Sync count: 84	Boot count: 84[0m
[2025-05-03 14:39:38] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.80 ms	Sync count: 85	Boot count: 85[0m
[2025-05-03 14:40:08] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 360.24 ms	Sync count: 86	Boot count: 86[0m
[2025-05-03 14:40:37] [32m[I]      288 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29716 ms	Sync time: 0 ms	Done time: 284 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 359.37 ms	Sync count: 87	Boot count: 87[0m
[2025-05-03 14:41:07] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 358.52 ms	Sync count: 88	Boot count: 88[0m
[2025-05-03 14:41:37] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 357.70 ms	Sync count: 89	Boot count: 89[0m
[2025-05-03 14:42:07] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 356.89 ms	Sync count: 90	Boot count: 90[0m
[2025-05-03 14:42:37] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 356.10 ms	Sync count: 91	Boot count: 91[0m
[2025-05-03 14:43:06] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 355.33 ms	Sync count: 92	Boot count: 92[0m
[2025-05-03 14:43:36] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 354.57 ms	Sync count: 93	Boot count: 93[0m
